130431,鸡泽县,county,河北省,河北省,130431,130000,130000,130431
130432,广平县,county,河北省,河北省,130432,130000,130000,130432
130433,馆陶县,county,河北省,河北省,130433,130000,130000,130433
130434,魏县,county,河北省,河北省,130434,130000,130000,130434
130435,曲周县,county,河北省,河北省,130435,130000,130000,130435
130481,武安市,county,河北省,河北省,130481,130000,130000,130481
130500,邢台市,city,河北省,邢台市,,130000,130500,
130502,襄都区,county,河北省,河北省,130502,130000,130000,130502
130503,信都区,county,河北省,河北省,130503,130000,130000,130503
130505,任泽区,county,河北省,河北省,130505,130000,130000,130505
130506,南和区,county,河北省,河北省,130506,130000,130000,130506
130522,临城县,county,河北省,河北省,130522,130000,130000,130522
130523,内丘县,county,河北省,河北省,130523,130000,130000,130523
130524,柏乡县,county,河北省,河北省,130524,130000,130000,130524
130525,隆尧县,county,河北省,河北省,130525,130000,130000,130525
130528,宁晋县,county,河北省,河北省,130528,130000,130000,130528
130529,巨鹿县,county,河北省,河北省,130529,130000,130000,130529
130530,新河县,county,河北省,河北省,130530,130000,130000,130530
130531,广宗县,county,河北省,河北省,130531,130000,130000,130531
130532,平乡县,county,河北省,河北省,130532,130000,130000,130532
130533,威县,county,河北省,河北省,130533,130000,130000,130533
130534,清河县,county,河北省,河北省,130534,130000,130000,130534
130535,临西县,county,河北省,河北省,130535,130000,130000,130535
130581,南宫市,county,河北省,河北省,130581,130000,130000,130581
130582,沙河市,county,河北省,河北省,130582,130000,130000,130582
130600,保定市,city,河北省,保定市,,130000,130600,
130602,竞秀区,county,河北省,河北省,130602,130000,130000,130602
130606,莲池区,county,河北省,河北省,130606,130000,130000,130606
130607,满城区,county,河北省,河北省,130607,130000,130000,130607
130608,清苑区,county,河北省,河北省,130608,130000,130000,130608
130609,徐水区,county,河北省,河北省,130609,130000,130000,130609
130623,涞水县,county,河北省,河北省,130623,130000,130000,130623
130624,阜平县,county,河北省,河北省,130624,130000,130000,130624
130626,定兴县,county,河北省,河北省,130626,130000,130000,130626
130627,唐县,county,河北省,河北省,130627,130000,130000,130627
130628,高阳县,county,河北省,河北省,130628,130000,130000,130628
130629,容城县,county,河北省,河北省,130629,130000,130000,130629
130630,涞源县,county,河北省,河北省,130630,130000,130000,130630
130631,望都县,county,河北省,河北省,130631,130000,130000,130631
